,DBN,school_name,school_type,administrative district,american indian/alaskan native removals or suspensions resulting from incidents where nypd was contacted,asian removals or suspensions resulting from incidents where nypd was contacted,black removals or suspensions resulting from incidents where nypd was contacted,hispanic removals or suspensions resulting from incidents where nypd was contacted,white removals or suspensions resulting from incidents where nypd was contacted,multi-racial removals or suspensions resulting from incidents where nypd was contacted,unknown removals or suspensions resulting from incidents where nypd was contacted,principal,removal,superintendent,expulsions,female removals or suspensions resulting from incidents where nypd was contacted,male removals or suspensions resulting from incidents where nypd was contacted,total removals or suspensions resulting from incidents where nypd was contacted
128,02M543,New Design High School,High school,2.0,3,3,3,3,3,3,3,3,3,12,0,3,3,3
129,02M544,Independence High School,High school,2.0,3,3,3,3,3,3,3,17,3,3,0,3,3,3
130,02M545,High School for Dual Language and Asian Studies,High school,2.0,3,3,3,3,3,3,3,0,0,0,0,3,3,3
131,02M546,Academy for Software Engineering,High school,2.0,3,3,3,3,3,3,3,20,3,3,0,3,3,3
132,02M550,Liberty High School Academy for Newcomers,High school,2.0,3,3,3,3,3,3,3,20,0,0,0,3,3,3
133,02M551,Urban Assembly New York Harbor School,High school,2.0,3,3,3,3,3,3,3,37,3,3,0,3,3,6
134,02M560,High School M560 - City As School,High school,2.0,3,3,3,3,3,3,3,3,0,0,0,3,3,3
135,02M565,Urban Academy Laboratory High School,High school,2.0,3,3,3,3,3,3,3,0,0,0,0,3,3,3
136,02M570,Satellite Academy High School,High school,2.0,3,3,3,3,3,3,3,9,0,6,0,3,3,3
137,02M575,Manhattan Comprehensive Night and Day High School,High school,2.0,3,3,3,3,3,3,3,3,0,3,0,3,3,3
138,02M580,Richard R. Green High School of Teaching,High school,2.0,3,3,3,3,3,3,3,18,0,20,0,3,3,8
139,02M586,Harvey Milk High School,High school,2.0,3,3,3,6,3,3,3,13,3,3,0,3,3,7
140,02M600,The High School of Fashion Industries,High school,2.0,3,3,3,3,3,3,3,35,0,15,0,3,3,3
141,02M605,Humanities Preparatory Academy,High school,2.0,3,3,3,3,3,3,3,3,0,0,0,3,3,3
142,02M615,Chelsea Career and Technical Education High School,High school,2.0,3,3,3,3,3,3,3,18,3,3,0,3,3,3
143,02M630,Art and Design High School,High school,2.0,3,3,3,3,3,3,3,19,3,3,0,3,3,3
144,02M655,Life Sciences Secondary School,Secondary School,2.0,3,3,3,3,3,3,3,21,0,11,0,3,3,6
145,02M896,Lower Manhattan Community Middle School,Junior High-Intermediate-Middle,2.0,3,3,3,3,3,3,3,3,0,0,0,3,3,3
146,02M933,City Knoll Middle School,Junior High-Intermediate-Middle,2.0,3,3,3,3,3,3,3,30,15,21,0,3,3,3
