,DBN,school_name,school_type,administrative_district_code,american indian/alaskan native removals and/or suspensions resulting from incidents where nypd was contacted,asian removals and/or suspensions resulting from incidents where nypd was contacted,black removals and/or suspensions resulting from incidents where nypd was contacted,hispanic removals and/or suspensions resulting from incidents where nypd was contacted,multi-racial removals and/or suspensions resulting from incidents where nypd was contacted,unknown removals and/or suspensions resulting from incidents where nypd was contacted,white removals and/or suspensions resulting from incidents where nypd was contacted,principal,removal,superintendent,expulsions,female removals and/or suspensions resulting from incidents where nypd was contacted,male removals and/or suspensions resulting from incidents where nypd was contacted,sy1920_total_removals_suspensions removals and/or suspensions resulting from incidents where nypd was contacted
83,02M316,"Urban Assembly School of Business for Young Women,",High school,2.0,0,0,3,0,0,0,0,17,0,12,0,3,0,3
84,02M340,Sixth Avenue Elementary School,Elementary,2.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
85,02M343,The Peck Slip School,Elementary,2.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
86,02M347,The 47 American Sign Language & English Lower Scho,K-8,2.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
87,02M374,Gramercy Arts High School,High school,2.0,0,0,0,3,0,0,0,12,0,0,0,0,3,3
88,02M376,NYC iSchool,High school,2.0,0,3,3,0,0,0,0,6,3,3,0,0,3,3
89,02M392,Manhattan Business Academy,High school,2.0,0,0,3,0,0,0,0,47,3,3,0,3,0,3
90,02M393,Business Of Sports School,High school,2.0,0,0,3,3,0,0,0,34,0,10,0,3,3,6
91,02M394,Emma Lazarus High School,High school,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,02M397,Spruce Street School,K-8,2.0,0,0,0,0,0,0,0,3,3,3,0,0,0,0
93,02M399,The High School For Language And Diplomacy,High school,2.0,0,0,3,3,0,0,0,3,3,17,0,3,3,3
94,02M400,High School for Environmental Studies,High school,2.0,0,0,3,3,0,0,0,39,0,18,0,0,3,3
95,02M407,Institute for Collaborative Education,Secondary School,2.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
96,02M408,Professional Performing Arts High School,Secondary School,2.0,0,0,3,0,0,0,0,7,0,3,0,3,0,3
97,02M411,Baruch College Campus High School,High school,2.0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
98,02M412,N.Y.C. Lab School for Collaborative Studies,High school,2.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
99,02M413,School of the Future High School,Secondary School,2.0,0,0,0,0,0,0,3,20,0,3,0,0,3,3
100,02M414,N.Y.C. Museum School,High school,2.0,0,0,0,0,0,0,0,12,0,3,0,0,0,0
101,02M416,Eleanor Roosevelt High School,High school,2.0,0,0,0,0,0,0,3,3,0,3,0,0,3,3
102,02M418,Millennium High School,High school,2.0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
103,02M419,Landmark High School,High school,2.0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
104,02M420,High School for Health Professions and Human Servi,High school,2.0,0,0,3,3,0,0,3,28,3,3,0,3,0,3
105,02M422,Quest to Learn,Secondary School,2.0,0,0,0,3,0,0,0,27,0,21,0,0,3,3
106,02M425,Leadership and Public Service High School,High school,2.0,0,0,0,0,0,0,0,19,0,3,0,0,0,0
107,02M427,Manhattan Academy For Arts & Language,High school,2.0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
108,02M432,Murray Hill Academy,High school,2.0,0,0,0,0,0,3,0,3,3,3,0,0,3,3
109,02M437,Hudson High School of Learning Technologies,High school,2.0,3,0,3,3,0,0,0,29,3,12,0,0,3,3
110,02M438,International High School at Union Square,High school,2.0,0,0,0,3,0,0,0,3,3,0,0,0,3,3
111,02M439,Manhattan Village Academy,High school,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,02M442,"Ballet Tech, NYC Public School for Dance",K-8,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,02M449,Vanguard High School,High school,2.0,0,0,3,3,0,3,0,6,0,11,0,3,3,9
114,02M459,Manhattan International High School,High school,2.0,0,0,0,3,0,0,0,3,0,3,0,0,3,3
115,02M475,Stuyvesant High School,High school,2.0,0,0,0,0,3,0,0,13,0,8,0,0,3,3
116,02M489,High School of Economics and Finance,High school,2.0,3,0,3,0,0,0,3,3,0,6,0,3,3,3
117,02M500,Unity Center for Urban Technologies,High school,2.0,0,0,0,0,0,0,0,7,0,3,0,0,0,0
118,02M507,Urban Assembly Gateway School for Technology,High school,2.0,0,0,3,3,0,0,3,11,3,3,0,0,3,3
119,02M519,Talent Unlimited High School,High school,2.0,0,0,0,0,0,0,0,25,0,3,0,0,0,0
120,02M520,Murry Bergtraum High School for Business Careers,High school,2.0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
121,02M527,P.S. 527 - East Side School for Social Action,Elementary,2.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
122,02M529,Jacqueline Kennedy Onassis High School,High school,2.0,0,0,6,3,0,0,3,10,3,8,0,3,3,9
123,02M531,Repertory Company High School for Theatre Arts,High school,2.0,0,0,0,3,0,0,0,3,3,0,0,3,0,3
124,02M533,Union Square Academy for Health Sciences,High school,2.0,0,0,0,0,0,0,3,18,0,0,0,0,3,3
125,02M534,Harvest Collegiate High School,High school,2.0,0,0,3,0,0,0,0,19,3,3,0,3,3,3
126,02M542,Manhattan Bridges High School,High school,2.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
127,02M543,New Design High School,High school,2.0,0,0,3,0,0,0,0,19,0,11,0,0,3,3
128,02M544,Independence High School,High school,2.0,0,0,3,3,0,0,3,15,0,3,0,0,7,7
129,02M545,High School for Dual Language and Asian Studies,High school,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,02M546,Academy for Software Engineering,High school,2.0,0,0,0,0,0,0,0,20,3,3,0,0,0,0
131,02M550,Liberty High School Academy for Newcomers,High school,2.0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
132,02M551,Urban Assembly New York Harbor School,High school,2.0,0,0,0,0,0,0,0,30,3,3,0,0,0,0
133,02M560,High School M560 - City As School,High school,2.0,0,0,3,0,0,0,0,3,0,0,0,3,0,3
134,02M565,Urban Academy Laboratory High School,High school,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,02M570,Satellite Academy High School,High school,2.0,0,0,3,0,0,0,0,3,0,3,0,0,3,3
136,02M575,Manhattan Comprehensive Night and Day High School,High school,2.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
