,DBN,school_name,school_type,administrative district,american indian/alaskan native removals or suspensions resulting from incidents where nypd was contacted,asian removals or suspensions resulting from incidents where nypd was contacted,black removals or suspensions resulting from incidents where nypd was contacted,hispanic removals or suspensions resulting from incidents where nypd was contacted,white removals or suspensions resulting from incidents where nypd was contacted,multi-racial removals or suspensions resulting from incidents where nypd was contacted,unknown removals or suspensions resulting from incidents where nypd was contacted,principal,removal,superintendent,expulsions,female removals or suspensions resulting from incidents where nypd was contacted,male removals or suspensions resulting from incidents where nypd was contacted,total removals or suspensions resulting from incidents where nypd was contacted
63,02M414,N.Y.C. Museum School,High school,2.0,3,3,3,3,3,3,3,0,12,0,0,3,3,0
64,02M439,Manhattan Village Academy,High school,2.0,3,3,3,3,3,3,3,9,3,0,0,3,3,0
65,02M442,"Ballet Tech, NYC Public School for Dance",K-8,2.0,3,3,3,3,3,3,3,6,3,3,0,3,3,0
66,02M459,Manhattan International High School,High school,2.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
67,02M473,Washington Irving Yabc,High school,2.0,3,3,3,3,3,3,3,7,28,0,0,3,3,0
68,02M500,Unity Center for Urban Technologies,High school,2.0,3,3,3,3,3,3,3,33,57,3,0,3,3,0
69,02M527,P.S. 527 - East Side School for Social Action,Elementary,2.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
70,02M534,Harvest Collegiate High School,High school,2.0,3,3,3,3,3,3,3,18,0,10,0,3,3,0
71,02M542,Manhattan Bridges High School,High school,2.0,3,3,3,3,3,3,3,58,3,3,0,3,3,0
72,02M545,High School for Dual Language and Asian Studies,High school,2.0,3,3,3,3,3,3,3,10,3,3,0,3,3,0
73,02M550,Liberty High School Academy for Newcomers,High school,2.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
74,02M560,High School M560 - City As School,High school,2.0,3,3,3,3,3,3,3,10,0,3,0,3,3,0
75,02M565,Urban Academy Laboratory High School,High school,2.0,3,3,3,3,3,3,3,120,11,3,0,3,3,0
76,02M575,Manhattan Comprehensive Night and Day High School,High school,2.0,3,3,3,3,3,3,3,3,0,3,0,3,3,0
77,02M605,Humanities Preparatory Academy,High school,2.0,3,3,3,3,3,3,3,44,3,24,0,3,3,0
78,02M615,Chelsea Career and Technical Education High School,High school,2.0,3,3,3,3,3,3,3,31,3,10,0,3,3,0
79,02M893,Jacob Riis School,Junior High-Intermediate-Middle,2.0,3,3,3,3,3,3,3,31,3,18,0,3,3,0
80,02M896,Lower Manhattan Community Middle School,Junior High-Intermediate-Middle,2.0,3,3,3,3,3,3,3,81,6,14,0,3,3,0
81,02M902,Washington Irving Evng Hs T/R @NTHS,Ungraded,2.0,3,3,3,3,3,3,3,42,0,3,0,3,3,0
82,02M972,Office of Academic Policy,Central-HQ-Citywide,2.0,3,3,3,3,3,3,3,18,17,3,0,3,3,0
83,03M009,P.S. 009 Sarah Anderson,Elementary,3.0,3,3,3,3,3,3,3,3,0,3,0,3,3,0
84,03M084,P.S. 084 Lillian Weber,Elementary,3.0,3,3,3,3,3,3,3,27,3,12,0,3,3,0
85,03M087,P.S. 087 William Sherman,Elementary,3.0,3,3,3,3,3,3,3,0,3,0,0,3,3,0
86,03M145,"P.S. 145, The Bloomingdale School",Elementary,3.0,3,3,3,3,3,3,3,0,3,0,0,3,3,0
87,03M166,P.S. 166 The Richard Rodgers School of The Arts an,Elementary,3.0,3,3,3,3,3,3,3,3,11,3,0,3,3,0
88,03M185,P.S. 185 - The Early Childhood Discovery and Desig,Early Childhood,3.0,3,3,3,3,3,3,3,40,12,9,0,3,3,0
89,03M191,The Riverside School for Makers and Artists,K-8,3.0,3,3,3,3,3,3,3,19,0,3,0,3,3,0
90,03M199,P.S. 199 Jessie Isador Straus,Elementary,3.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
91,03M241,STEM Institute of Manhattan,Elementary,3.0,3,3,3,3,3,3,3,35,3,12,0,3,3,0
92,03M243,M.S. 243 Center School,Junior High-Intermediate-Middle,3.0,3,3,3,3,3,3,3,45,11,10,0,3,3,0
93,03M245,M.S. M245 The Computer School,Junior High-Intermediate-Middle,3.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
