,year,building_code,dbn,location_name,address,borough,register,major_crimes,other_crimes,non_criminal,property_crimes,violent_crimes,population_group,population_range,latitude,longitude
2860,2014-15,M013,04M518,EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL(MN),1573 MADISON AVENUE,M,,,,,,,,,40.793763,-73.949381
2861,2014-15,M013,04M555,Central Park East High School,1573 MADISON AVENUE,M,466,,,,,,3C,251-500,40.793763,-73.949381
2862,2014-15,M013,84M168      ,East Harlem Scholars Academy Charter School II,1573 MADISON AVENUE,M,,,,,,,,,40.793763,-73.949381
2863,2014-15,M013,,1573 MADISON AVENUE CONSOLIDATED LOCATION,1573 MADISON AVENUE,M,1161,0.0,3.0,2.0,2.0,0.0,6C,1001-1250,40.793763,-73.949381
2864,2014-15,M015,01M015,P.S. 015 Roberto Clemente,333 EAST  4 STREET,M,183,0.0,1.0,1.0,1.0,0.0,2C,1-250,40.721807,-73.979022
2865,2014-15,M017,02M212,P.S. 212 Midtown West,328 WEST  48 STREET,M,361,,,,,,3C,251-500,40.761448,-73.988019
2866,2014-15,M017,02M408,Professional Performing Arts High School,328 WEST  48 STREET,M,536,,,,,,4C,501-750,40.761448,-73.988019
2867,2014-15,M017,,328 WEST  48 STREET CONSOLIDATED LOCATION,328 WEST  48 STREET,M,897,0.0,3.0,3.0,3.0,0.0,5C,751-1000,40.761448,-73.988019
2868,2014-15,M019,01M019,P.S. 019 Asher Levy,185 1 AVENUE,M,270,,,,,,3C,251-500,40.729636,-73.983818
2869,2014-15,M019,01M301,"Technology, Arts, and Sciences Studio",185 1 AVENUE,M,149,,,,,,2C,1-250,40.729636,-73.983818
2870,2014-15,M019,,185 1 AVENUE CONSOLIDATED LOCATION,185 1 AVENUE,M,419,0.0,3.0,2.0,1.0,2.0,3C,251-500,40.729636,-73.983818
