,DBN,school_name,school_category,district_code,american_indian_or_alaskan_native,asian,black,hispanic,white,multi_racial,unknown
199,04M102,P.S. 102 Jacques Cartier,elementary,4,3,3,3,3,3,3,3
200,04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,k-8,4,3,3,3,3,3,3,3
201,04M112,P.S. 112 Jose Celso Barbosa,early childhood,4,3,3,3,3,3,3,3
202,04M146,P.S. 146 Ann M. Short,elementary,4,3,3,3,3,3,3,3
203,04M155,P.S. 155 William Paca,elementary,4,3,3,3,3,3,3,3
204,04M171,P.S. 171 Patrick Henry,k-8,4,3,3,3,3,3,3,3
205,04M182,The Bilingual Bicultural School,elementary,4,3,3,3,3,3,3,3
206,04M206,P.S. 206 Jose Celso Barbosa,k-8,4,3,3,3,3,3,3,3
207,04M224,M.S. 224 Manhattan East School for Arts & Academic,junior high-intermediate-middle,4,3,3,3,3,3,3,3
208,04M310,THE JUDITH S. KAYE HIGH SCHOOL,secondary school,4,3,3,3,3,3,3,3
209,04M372,Esperanza Preparatory Academy,secondary school,4,3,3,3,7,3,3,3
210,04M375,Mosaic Preparatory Academy,elementary,4,3,3,3,3,3,3,3
211,04M377,Renaissance School of the Arts,junior high-intermediate-middle,4,3,3,3,3,3,3,3
212,04M435,Manhattan Center for Science and Mathematics,high school,4,3,3,3,3,3,3,3
213,04M495,Park East High School,high school,4,3,3,3,3,3,3,3
214,04M497,Central Park East I,elementary,4,3,3,3,3,3,3,3
215,04M555,Central Park East High School,high school,4,3,3,3,3,3,3,3
216,04M610,Young Women's Leadership School,secondary school,4,3,3,3,3,3,3,3
217,04M680,"Heritage School, The",high school,4,3,3,3,11,3,3,3
218,04M825,Isaac Newton Middle School for Math & Science,junior high-intermediate-middle,4,3,3,3,3,3,3,3
219,04M964,Central Park East II,k-8,4,3,3,3,3,3,3,3
220,05M030,P.S. 030 Hernandez/Hughes,elementary,5,3,3,8,3,3,3,3
221,05M036,P.S. 036 Margaret Douglas,elementary,5,3,3,3,3,3,3,3
