,DBN,Location Name,Location Type,Total SW & GC,Total GC,Full Time,Part Time,Bilingual,Serving more than one location,SY2016-17 Enrollment,Ratio GC & SW,Ratio GC Only
626,12X150,12X150 - P.S. 150 CHARLES JAMES FOX,ELEMENTARY                         ,3.0,0.0,0.0,0.0,0.0,0.0,909.0,303.0,
627,12X190,12X190 - E.S.M.T- I.S. 190,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,1.0,0.0,0.0,0.0,0.0,0.0,246.0,246.0,
628,12X195,12X195 - P.S. 195,ELEMENTARY                         ,4.0,2.0,2.0,0.0,0.0,0.0,1005.0,252.0,503.0
629,12X196,12X196 - P.S. 196,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,961.0,481.0,961.0
630,12X211,12X211 - P.S. 211,K-8                                ,1.0,1.0,1.0,0.0,0.0,0.0,591.0,591.0,591.0
631,12X212,12X212 - P.S. 212,K-8                                ,2.0,1.0,1.0,0.0,0.0,0.0,422.0,211.0,422.0
632,12X214,12X214 - P.S. 214,K-8                                ,3.0,2.0,2.0,0.0,0.0,0.0,1064.0,355.0,532.0
633,12X217,12X217 - SCHOOL OF PERFORMING ARTS,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,1.0,1.0,1.0,0.0,0.0,0.0,299.0,299.0,299.0
634,12X242,12X242 - MOTT HALL V,SECONDARY SCHOOL                   ,2.0,2.0,2.0,0.0,1.0,0.0,666.0,333.0,333.0
635,12X248,12X248 - METROPOLITAN HIGH SCHOOL  THE,HIGH SCHOOL                        ,3.0,2.0,2.0,0.0,1.0,0.0,436.0,146.0,218.0
636,12X251,12X251 - EXPLORATIONS ACADEMY,HIGH SCHOOL                        ,1.0,1.0,1.0,0.0,1.0,0.0,344.0,344.0,344.0
637,12X267,12X267 - BRONX LATIN,SECONDARY SCHOOL                   ,3.0,3.0,3.0,0.0,0.0,0.0,561.0,187.0,187.0
638,12X271,12X271 - EAST BRONX ACADEMY FOR THE FUTURE,SECONDARY SCHOOL                   ,4.0,4.0,4.0,0.0,0.0,0.0,673.0,135.0,135.0
639,12X273,12X273 - FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,1.0,1.0,1.0,0.0,0.0,0.0,248.0,248.0,248.0
640,12X286,12X286 - FANNIE LOU HAMER MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,2.0,1.0,1.0,0.0,0.0,0.0,272.0,136.0,272.0
641,12X300,12X300 - THE SCHOOL OF SCIENCE AND APPLIED LEARNING,ELEMENTARY                         ,4.0,1.0,1.0,0.0,0.0,0.0,615.0,154.0,615.0
642,12X314,12X314 - FAIRMONT NEIGHBORHOOD SCHOOL,ELEMENTARY                         ,3.0,1.0,1.0,0.0,0.0,0.0,321.0,107.0,321.0
643,12X316,12X316 - KAPPA III,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,1.0,1.0,1.0,0.0,0.0,0.0,375.0,375.0,375.0
644,12X318,12X318 - I.S. X318 MATH  SCIENCE & TECHNOLOGY THROUGH ARTS,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,1.0,1.0,1.0,0.0,0.0,0.0,283.0,283.0,283.0
645,12X341,12X341 - ACCION ACADEMY,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,1.0,1.0,1.0,0.0,0.0,0.0,131.0,131.0,131.0
646,12X372,12X372 - URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,SECONDARY SCHOOL                   ,3.0,2.0,2.0,0.0,0.0,0.0,585.0,147.0,195.0
647,12X383,12X383 - EMOLIOR ACADEMY,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,1.0,1.0,1.0,0.0,1.0,0.0,251.0,251.0,251.0
648,12X384,12X384 - ENTRADA ACADEMY,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,2.0,2.0,2.0,0.0,0.0,0.0,266.0,133.0,133.0
649,12X388,12X388 - PAN AMERICAN INTERNATIONAL HIGH SCHOOL AT MONROE,HIGH SCHOOL                        ,3.0,2.0,2.0,0.0,1.0,0.0,456.0,152.0,228.0
650,12X428,12X428 - LEARNING TO WORK YABC AT MONROE ACADEMY,HIGH SCHOOL,1.0,1.0,1.0,0.0,0.0,0.0,184.0,184.0,184.0
