,DBN,School Name,Student Response Rate,Number of student respondents,Number of eligible students,Safety and respect score,Communication score,Engagement score,Academic expectation score
1598,84M708,Harlem Day Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1599,84M709,Harlem Village Academy Charter School,90.0,256.0,284.0,7.5,6.5,7.4,8.2
1600,84M726,KIPP S.T.A.R. Charter School,64.0,172.0,267.0,6.9,6.9,7.1,7.6
1601,84M861,Future Leaders Institute Charter School,100.0,96.0,96.0,7.1,6.9,7.8,8.3
1602,84Q170,Peninsula Preparatory Academy Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1603,84Q304,VOICE Charter School of New York,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1604,84Q321,Growing Up Green Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1605,84Q340,Challenge Preparatory Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1606,84Q341,Riverton Street Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1607,84Q342,The Rochdale Early Advantage Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1608,84Q704,Merrick Academy Charter School,100.0,47.0,47.0,5.5,5.7,6.8,7.7
1609,84Q705,"Renaissance Charter School, The",100.0,366.0,366.0,6.9,5.7,6.7,7.2
1610,84Q706,Our World Neighborhood Charter,99.0,248.0,251.0,6.7,6.0,6.9,7.3
1611,84R067,John W. Lavelle Preparatory Charter School,100.0,134.0,134.0,6.9,6.7,7.5,7.9
1612,84R071,Staten Island Community Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1613,84R073,New World Preparatory Charter School,83.0,91.0,110.0,6.1,7.1,7.0,7.8
1614,84X165,Grand Concourse Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1615,84X185,The Bronx Lighthouse Charter School,93.0,126.0,135.0,6.6,6.1,7.0,7.6
1616,84X255,Bronx Charter School for Excellence,100.0,51.0,51.0,7.3,7.4,8.1,8.3
1617,84X309,South Bronx Charter School For Int'L Culture & The,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1618,84X345,Hyde Leadership Charter School,80.0,296.0,371.0,6.8,6.3,7.1,7.7
1619,84X346,South Bronx Classical Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1620,84X347,International Leadership Charter School,68.0,200.0,292.0,5.9,5.5,5.5,6.8
1621,84X378,Icahn Charter School 2,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1622,84X389,Bronx Global Learning Institute for Girls Charter,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1623,84X393,Green Dot NY Charter School,97.0,285.0,295.0,6.9,6.5,6.8,7.7
