CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
233448649,01/01/2016,02:00:00,01/01/2016,02:00:00,102,01/01/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,QUEENS,,STREET,N.Y. POLICE DEPT,0,,,NA,1026658,190208,UNKNOWN,ASIAN / PACIFIC ISLANDER,U,,40.688660412,-73.84708493,"(40.688660412, -73.84708493)",PATROL BORO QUEENS SOUTH,,45-64,WHITE,M
239361020,01/01/2016,17:09:00,,,43,01/02/2016,109,GRAND LARCENY,438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,BRONX,INSIDE,DEPARTMENT STORE,N.Y. POLICE DEPT,0,,,NA,1023876,240229,,,,,40.825967994,-73.856821554,"(40.825967994, -73.856821554)",PATROL BORO BRONX,,45-64,WHITE HISPANIC,F
403989619,01/01/2016,05:30:00,01/01/2016,05:40:00,18,01/01/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,NA,991591,214320,25-44,BLACK,M,,40.754940584,-73.973504643,"(40.754940584, -73.973504643)",PATROL BORO MAN SOUTH,,25-44,ASIAN / PACIFIC ISLANDER,M
136073523,01/01/2016,04:40:00,01/01/2016,04:45:00,110,01/01/2016,106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,QUEENS,,STREET,N.Y. POLICE DEPT,0,,,NA,1019613,212129,UNKNOWN,WHITE HISPANIC,M,,40.748859184,-73.872372879,"(40.748859184, -73.872372879)",PATROL BORO QUEENS NORTH,,25-44,WHITE HISPANIC,F
566357423,01/01/2016,00:01:00,12/18/2016,16:50:00,75,12/28/2016,233,SEX CRIMES,681,"CHILD, ENDANGERING WELFARE",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,1017141,183798,,,,,40.671106911,-73.881432957,"(40.671106911, -73.881432957)",PATROL BORO BKLYN NORTH,,<18,BLACK,F
716845082,01/01/2016,08:00:00,04/05/2016,05:30:00,61,04/05/2016,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,BROOKLYN,,OTHER,N.Y. POLICE DEPT,0,,,NA,1002189,152992,UNKNOWN,UNKNOWN,U,,40.586593869,-73.935415143,"(40.586593869, -73.935415143)",PATROL BORO BKLYN SOUTH,,UNKNOWN,UNKNOWN,E
151784480,01/01/2016,01:30:00,01/01/2016,01:40:00,43,01/01/2016,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,BRONX,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,,879,1018527,243130,18-24,BLACK,M,,40.833952779,-73.876134149,"(40.833952779, -73.876134149)",PATROL BORO BRONX,,18-24,BLACK HISPANIC,M
352041844,01/01/2016,06:10:00,01/01/2016,06:15:00,75,01/01/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,,NA,1013801,183496,,,,,40.670289768,-73.893474607,"(40.670289768, -73.893474607)",PATROL BORO BKLYN NORTH,,25-44,BLACK,F
801118198,01/01/2016,17:00:00,,,72,01/04/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,980050,173871,25-44,WHITE HISPANIC,F,,40.643919569,-74.015135814,"(40.643919569, -74.015135814)",PATROL BORO BKLYN SOUTH,,25-44,WHITE HISPANIC,M
678449806,01/01/2016,00:01:00,01/31/2016,23:59:00,75,03/09/2016,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,1020507,188298,25-44,BLACK,M,,40.683445239,-73.869274702,"(40.683445239, -73.869274702)",PATROL BORO BKLYN NORTH,,25-44,BLACK,M
868737790,01/01/2016,20:00:00,05/08/2016,08:00:00,68,05/08/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,976797,166201,45-64,WHITE,M,,40.622864901,-74.02684927,"(40.622864901, -74.02684927)",PATROL BORO BKLYN SOUTH,,25-44,WHITE,M
543468698,01/01/2016,02:00:00,01/01/2016,02:05:00,25,01/01/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,,670,1002883,231248,UNKNOWN,BLACK,M,,40.80138689,-73.93270006,"(40.80138689, -73.93270006)",PATROL BORO MAN NORTH,,25-44,BLACK,M
346584058,01/01/2016,20:35:00,01/01/2016,21:03:00,49,01/01/2016,344,ASSAULT 3 & RELATED OFFENSES,113,"MENACING,UNCLASSIFIED",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,1021105,249592,18-24,BLACK HISPANIC,M,,40.85167868,-73.866782493,"(40.85167868, -73.866782493)",PATROL BORO BRONX,,45-64,UNKNOWN,M
995156021,01/01/2016,08:00:00,04/20/2016,18:00:00,61,04/20/2016,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,ABANDONED BUILDING,N.Y. POLICE DEPT,0,,,NA,991590,155902,UNKNOWN,UNKNOWN,U,,40.59459635,-73.973571861,"(40.59459635, -73.973571861)",PATROL BORO BKLYN SOUTH,,UNKNOWN,UNKNOWN,E
343987403,01/01/2016,19:00:00,01/25/2017,20:30:00,109,01/25/2017,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,QUEENS,,STREET,N.Y. POLICE DEPT,0,,,NA,1031447,215683,25-44,WHITE HISPANIC,M,,40.758558753,-73.82963795,"(40.758558753, -73.82963795)",PATROL BORO QUEENS NORTH,,25-44,ASIAN / PACIFIC ISLANDER,M
851803513,01/01/2016,16:30:00,01/01/2016,16:40:00,52,01/01/2016,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,0,,,NA,1010546,253615,UNKNOWN,UNKNOWN,F,,40.862758367,-73.904934062,"(40.862758367, -73.904934062)",PATROL BORO BRONX,,45-64,BLACK,F
350283435,01/01/2016,23:00:00,01/01/2016,23:15:00,41,01/02/2016,107,BURGLARY,223,"BURGLARY,RESIDENCE,NIGHT",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,1015498,240224,,,,,40.825987883,-73.887093613,"(40.825987883, -73.887093613)",PATROL BORO BRONX,,45-64,BLACK,M
949890891,01/01/2016,10:25:00,01/02/2016,10:31:00,112,01/02/2016,348,VEHICLE AND TRAFFIC LAWS,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",COMPLETED,MISDEMEANOR,QUEENS,,STREET,N.Y. POLICE DEPT,0,,,NA,1025401,202586,,,,,40.722640996,-73.851541822,"(40.722640996, -73.851541822)",PATROL BORO QUEENS NORTH,,UNKNOWN,UNKNOWN,E
280264162,01/01/2016,02:00:00,01/01/2016,02:30:00,18,01/01/2016,109,GRAND LARCENY,417,"LARCENY,GRAND FROM PERSON,PURS",COMPLETED,FELONY,MANHATTAN,INSIDE,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,,,NA,987953,215889,UNKNOWN,UNKNOWN,U,,40.759249361,-73.986634875,"(40.759249361, -73.986634875)",PATROL BORO MAN SOUTH,,18-24,WHITE,F
364657632,01/01/2016,00:00:00,12/23/2017,00:00:00,60,12/23/2017,341,PETIT LARCENY,305,"LARCENY,PETIT BY CREDIT CARD U",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,993768,149165,UNKNOWN,UNKNOWN,U,,40.576102551,-73.965738895,"(40.576102551, -73.965738895)",PATROL BORO BKLYN SOUTH,,25-44,WHITE,F
141278435,01/01/2016,13:50:00,01/01/2016,14:00:00,45,01/01/2016,359,OFFENSES AGAINST PUBLIC ADMINI,749,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,THROGGS NECK,939,1032218,239444,UNKNOWN,UNKNOWN,M,,40.823772033,-73.826685244,"(40.823772033, -73.826685244)",PATROL BORO BRONX,,25-44,BLACK,M
642427434,01/01/2016,19:22:00,01/01/2016,19:28:00,61,01/01/2016,340,FRAUDS,707,"IMPERSONATION 2, PUBLIC SERVAN",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,NOSTRAND,255,1001812,156545,25-44,WHITE HISPANIC,M,,40.596346897,-73.936763232,"(40.596346897, -73.936763232)",PATROL BORO BKLYN SOUTH,,UNKNOWN,UNKNOWN,E
341925834,01/01/2016,00:01:00,04/09/2016,08:00:00,112,04/09/2016,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,DRUG STORE,N.Y. POLICE DEPT,0,,,NA,1025893,203245,UNKNOWN,UNKNOWN,U,,40.724447487,-73.849762769,"(40.724447487, -73.849762769)",PATROL BORO QUEENS NORTH,,UNKNOWN,UNKNOWN,D
651797643,01/01/2016,00:00:00,07/13/2016,22:00:00,75,07/13/2016,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,1015238,178111,18-24,BLACK,M,,40.65550423,-73.888319195,"(40.65550423, -73.888319195)",PATROL BORO BKLYN NORTH,,18-24,BLACK HISPANIC,F
271794510,01/01/2016,08:00:00,01/01/2016,11:00:00,71,01/01/2016,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,996438,182621,25-44,BLACK,F,,40.667929016,-73.956067132,"(40.667929016, -73.956067132)",PATROL BORO BKLYN SOUTH,,25-44,BLACK,M
410815213,01/01/2016,20:00:00,01/02/2016,09:00:00,9,01/02/2016,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,,,NA,986697,203514,UNKNOWN,UNKNOWN,U,,40.725283501,-73.991173109,"(40.725283501, -73.991173109)",PATROL BORO MAN SOUTH,,45-64,WHITE,M
